1500
DONNA, A10 (Silver, 8TB), -2, Mauritania, 65230358
KAREN, N10 (Black, 2TB), -3, Cook Islands, 71281509
JESSICA, X100L (Black, 4TB), 2, Suriname, 3305371564
SARAH, Cast-Fi 7 (Black, 4TB), -1, United Arab Emirates, 78669547
CAROL, FLOW (Silver, 2TB), -3, New Caledonia, 63893649
RUTH, Cast-Fi 7 (Silver, 8TB), 2, New Caledonia, 2527223
DONNA, N100H (Black, 4TB), 1, French Polynesia, 65230358
MICHELLE, N100H (Silver, 12TB), -3, Togo, 892520735
MELISSA, N100H (Silver, 2TB), 0, Switzerland, 1666162860
SANDRA, FLOW (Black, 6TB), -2, Uganda, 1856327245
PATRICIA, X100L (Silver, 4TB), 2, China, 2026889313
PATRICIA, X100L (Black, 6TB), -1, Iraq, 2026889313
MICHELLE, Cast-Fi 7 (Black, 8TB), 4, Paraguay, 892520735
PATRICIA, W20 (Silver, 12TB), 2, Swaziland, 2026889313
KIMBERLY, FLOW (Black, 12TB), 2, French West Indies, 197582061
RY, N100H (Black, 12TB), 4, Denmark, 2631
RY, X100L (Silver, 12TB), 1, Nicaragua, 2631
DEBORAH, N100H (Black, 12TB), 4, Czech Republic, 2035460949
MARIA, A10 (Silver, 12TB), -1, Papua New Guinea, 73128662
SARAH, X100L (Black, 6TB), 4, Chad, 78669547
ELIZABETH, X100L (Silver, 4TB), -2, Netherlands Antilles, 2143727456
SANDRA, A10 (Silver, 12TB), 1, Switzerland, 1856327245
DOROTHY, W20 (Black, 8TB), 3, Iraq, 1734390947
DONNA, N100H (Silver, 4TB), 0, Chad, 65230358
ELIZABETH, W20 (Black, 12TB), -1, Hong Kong, 2143727456
DONNA, N100H (Black, 2TB), 3, Rwanda, 65230358
HELEN, FLOW (Black, 6TB), -2, Monaco, 68624344
PATRICIA, A10 (Silver, 2TB), 0, Seychelles, 2026889313
CYNTHIA, N10 (Silver, 4TB), -3, St Lucia, 2339159772
SUSAN, N100H (Black, 4TB), 1, Costa Rica, 79266334
PATRICIA, X100L (Silver, 6TB), 1, Nigeria, 2026889313
DONNA, X100L (Black, 12TB), -3, Guernsey, 65230358
SUSAN, N100H (Black, 8TB), -2, Luxembourg, 79266334
LAURA, X100L (Black, 12TB), 4, Malaysia, 72208303
BETTY, X100L (Silver, 8TB), 2, Croatia, 63091382
RY, FLOW (Silver, 4TB), -3, Gabon, 2631
HELEN, FLOW (Silver, 12TB), -3, Fiji, 68624344
SHIRLEY, W20 (Black, 8TB), -3, Aruba, 2779595522
HELEN, N100H (Silver, 12TB), 4, Montserrat, 68624344
MICHELLE, X100L (Silver, 4TB), -3, St. Lucia, 892520735
SHIRLEY, FLOW (Black, 12TB), 1, Turkmenistan, 2779595522
HELEN, Cast-Fi 7 (Silver, 4TB), 3, Seychelles, 68624344
JENNIFER, A10 (Black, 6TB), -3, Turkey, 5055424187
BRENDA, X100L (Black, 12TB), -3, Aruba, 1967385398
JESSICA, W20 (Black, 8TB), -2, Seychelles, 3305371564
KIMBERLY, N10 (Black, 8TB), -2, Mauritania, 197582061
MELISSA, Cast-Fi 7 (Black, 4TB), 3, Moldova, 1666162860
ELIZABETH, N100H (Black, 6TB), -2, Serbia, 2143727456
LINDA, FLOW (Black, 2TB), 1, Norway, 72439470
CAROL, N10 (Black, 6TB), -2, Liberia, 63893649
PATRICIA, Cast-Fi 7 (Black, 4TB), 0, Switzerland, 2026889313
LINDA, N100H (Silver, 6TB), 3, Laos, 72439470
PATRICIA, Cast-Fi 7 (Black, 4TB), -3, Papua New Guinea, 2026889313
MICHELLE, N100H (Black, 8TB), 2, Bahrain, 892520735
JENNIFER, Cast-Fi 7 (Black, 6TB), 3, Suriname, 5055424187
BETTY, N10 (Black, 4TB), 1, Libya, 63091382
RUTH, FLOW (Black, 2TB), 4, Brazil, 2527223
RUTH, N10 (Black, 6TB), 1, Estonia, 2527223
RY, W20 (Black, 4TB), 3, El Salvador, 2631
MELISSA, A10 (Black, 12TB), -3, Guernsey, 1666162860
PATRICIA, A10 (Silver, 8TB), 2, Hungary, 2026889313
KAREN, X100L (Black, 12TB), -3, Panama, 71281509
JESSICA, W20 (Silver, 2TB), 3, Hungary, 3305371564
MICHELLE, N100H (Silver, 12TB), 1, Turkmenistan, 892520735
JESSICA, X100L (Black, 12TB), -2, Morocco, 3305371564
DONNA, N100H (Silver, 6TB), -1, Turkey, 65230358
RY, N100H (Silver, 4TB), -2, Lesotho, 2631
AMY, FLOW (Silver, 6TB), 1, Cuba, 64941
MICHELLE, W20 (Black, 2TB), 2, France, 892520735
LAURA, X100L (Silver, 2TB), 3, Madagascar, 72208303
KIMBERLY, X100L (Black, 2TB), 2, Tanzania, 197582061
ANGELA, N10 (Black, 4TB), 2, Barbados, 1935113344
SHIRLEY, Cast-Fi 7 (Black, 6TB), 3, Malta, 2779595522
MARIA, N10 (Silver, 6TB), -3, Aruba, 73128662
SHIRLEY, FLOW (Black, 4TB), -1, Costa Rica, 2779595522
BRENDA, N100H (Silver, 8TB), 0, Cook Islands, 1967385398
MELISSA, X100L (Silver, 6TB), 1, Estonia, 1666162860
DONNA, W20 (Black, 2TB), -3, Azerbaijan, 65230358
MICHELLE, A10 (Silver, 4TB), -3, St Kitts &amp; Nevis, 892520735
BETTY, W20 (Silver, 4TB), 0, Maldives, 63091382
MICHELLE, Cast-Fi 7 (Black, 6TB), 1, El Salvador, 892520735
BETTY, Cast-Fi 7 (Black, 6TB), -3, Morocco, 63091382
BETTY, FLOW (Black, 12TB), -2, Hungary, 63091382
LISA, W20 (Black, 8TB), 1, Albania, 2336907
BETTY, Cast-Fi 7 (Silver, 12TB), 1, Zambia, 63091382
SANDRA, X100L (Black, 12TB), 4, Tajikistan, 1856327245
MARIA, FLOW (Silver, 8TB), -3, Syria, 73128662
SUSAN, Cast-Fi 7 (Black, 8TB), 0, Nigeria, 79266334
MICHELLE, W20 (Silver, 2TB), 1, Burundi, 892520735
BRENDA, A10 (Black, 2TB), 1, Saint Pierre &amp; Miquelon, 1967385398
CAROL, W20 (Silver, 12TB), 0, Suriname, 63893649
BETTY, FLOW (Silver, 8TB), 4, Cuba, 63091382
SARAH, W20 (Silver, 8TB), 0, El Salvador, 78669547
LINDA, Cast-Fi 7 (Silver, 4TB), 3, Cambodia, 72439470
AMY, A10 (Black, 8TB), -1, Cayman Islands, 64941
SHARON, A10 (Silver, 4TB), -1, South Africa, 1850236507
SARAH, FLOW (Black, 8TB), 1, Sweden, 78669547
BETTY, FLOW (Black, 6TB), -2, Singapore, 63091382
KAREN, N100H (Black, 6TB), -2, Syria, 71281509
DEBORAH, W20 (Silver, 8TB), 1, Macau, 2035460949
MARGARET, Cast-Fi 7 (Black, 2TB), -3, Sudan, 3269182743
DOROTHY, FLOW (Black, 4TB), 1, Bosnia &amp; Herzegovina, 1734390947
RUTH, A10 (Black, 6TB), 0, Albania, 2527223
ANGELA, N10 (Black, 12TB), 0, Finland, 1935113344
SARAH, N10 (Black, 2TB), 3, Botswana, 78669547
HELEN, FLOW (Silver, 12TB), -2, Laos, 68624344
SANDRA, X100L (Black, 2TB), -1, Afghanistan, 1856327245
PATRICIA, N10 (Silver, 8TB), 1, Zimbabwe, 2026889313
CAROL, W20 (Black, 2TB), -2, Brunei, 63893649
HELEN, X100L (Silver, 4TB), 3, Paraguay, 68624344
DOROTHY, X100L (Silver, 4TB), -2, Liechtenstein, 1734390947
JENNIFER, A10 (Silver, 4TB), 2, Syria, 5055424187
JESSICA, N10 (Black, 4TB), 3, Spain, 3305371564
DONNA, X100L (Black, 12TB), 1, Barbados, 65230358
CAROL, Cast-Fi 7 (Black, 4TB), 0, Bahrain, 63893649
